Country,Country Code,Year,Electricity PRODUCTION from wind (TWh),Electricity PRODUCTION from hydro (TWh),Electricity PRODUCTION from solar (TWh),PRODUCTION of other renewables including bioenergy (TWh),SHARE of Renewables (% electricity),Population Rank,Population,Hydro ELECTRIC SHARE ONLY  (% electricity),Hydro SHARE ALL (% equivalent primary energy),Electricity CONSUMPTION from hydro (TWh),Wind SHARE ELECTRIC ONLY  (% electricity),Wind SHARE ALL  (% equivalent primary energy),Electricity GENERATED from wind (TWh),Solar ELECTRICITY ONLY (% electricity),Solar SHARE ALL (% equivalent primary energy),Electricity CONSUMED from solar (TWh),City,Air Pollution
BANGLADESH,BGD,2017,0.01,1.03,0.25,0.03,1.9155419,8,169828911,1.4947032,0.7132308,1.03,0.014511681,0.003521487,0.01,0.36279202,0.17552204,0.25,Dhaka,80
BANGLADESH,BGD,2018,0.01,1.08,0.28,0.03,1.8926592,8,169828911,1.4600514,0.5627178,1.08,0.013518994,0.003304198,0.01,0.37853184,0.17885798,0.28,Dhaka,97
BANGLADESH,BGD,2019,0.01,0.77,0.33,0.03,1.4337819,8,169828911,0.9684316,0.47938937,0.77,0.012577034,0.002958313,0.01,0.41504213,0.1907694,0.33,Dhaka,83
BANGLADESH,BGD,2020,0.01,0.88,0.39,0.03,1.7298295,8,169828911,1.162023,0.41935676,0.88,0.013204806,0.003051207,0.01,0.5149874,0.23347098,0.39,Dhaka,77
BANGLADESH,BGD,2021,0.01,0.88,0.47,0.03,1.7252079,8,169828911,1.0922179,0.38842055,0.88,0.012411567,0.002896578,0.01,0.5833437,0.25673142,0.47,Dhaka,78
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Acrelandia,28
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Boa Vista,6
BRAZIL,BRA,2020,56.48,396.33,10.64,56.56,84.641174,7,203062512,64.50999,31.22798,396.33,9.193157,4.4946084,56.48,1.7318554,0.84678334,10.64,Brasileia,19
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Brasileia,15
BRAZIL,BRA,2018,48.12,388.97,3.44,52.13,82.919846,7,203062512,65.467735,30.113998,388.97,8.099101,3.7529275,48.12,0.5789881,0.26798302,3.44,Campinas,16
BRAZIL,BRA,2019,55.43,397.88,6.59,52.69,82.85489,7,203062512,64.313194,30.07191,397.88,8.959687,4.2314444,55.43,1.0652055,0.5029592,6.59,Campinas,20
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Campinas,16
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Colombo,14
BRAZIL,BRA,2019,55.43,397.88,6.59,52.69,82.85489,7,203062512,64.313194,30.07191,397.88,8.959687,4.2314444,55.43,1.0652055,0.5029592,6.59,Cruzeiro do Sul,9
BRAZIL,BRA,2020,56.48,396.33,10.64,56.56,84.641174,7,203062512,64.50999,31.22798,396.33,9.193157,4.4946084,56.48,1.7318554,0.84678334,10.64,Cruzeiro do Sul,13
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Cruzeiro do Sul,10
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Cubatao,17
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Curitiba,12
BRAZIL,BRA,2020,56.48,396.33,10.64,56.56,84.641174,7,203062512,64.50999,31.22798,396.33,9.193157,4.4946084,56.48,1.7318554,0.84678334,10.64,Feijo,14
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Feijo,12
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Fortaleza,4
BRAZIL,BRA,2017,42.06,370.91,0.83,50.6,79.90915,7,203062512,63.822357,28.998528,370.91,7.23725,3.3128626,42.06,0.14281783,0.06503355,0.83,Guarulhos,17
BRAZIL,BRA,2018,48.12,388.97,3.44,52.13,82.919846,7,203062512,65.467735,30.113998,388.97,8.099101,3.7529275,48.12,0.5789881,0.26798302,3.44,Guarulhos,22
BRAZIL,BRA,2019,55.43,397.88,6.59,52.69,82.85489,7,203062512,64.313194,30.07191,397.88,8.959687,4.2314444,55.43,1.0652055,0.5029592,6.59,Guarulhos,19
BRAZIL,BRA,2020,56.48,396.33,10.64,56.56,84.641174,7,203062512,64.50999,31.22798,396.33,9.193157,4.4946084,56.48,1.7318554,0.84678334,10.64,Guarulhos,16
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Guarulhos,16
